model,chosen_threshold,val_f1_macro_at_threshold,val_pred_mean,val_pred_std
ridge,-0.001017235389444978,0.5040794206968645,0.0007013594731688499,0.006627718918025494
arima,0.016384581536054654,0.498097149325321,0.0051009333692491055,0.1392991542816162
xgboost,-0.0020270183132961367,0.49755162758065663,0.00077056820737198,0.0052751400507986546
lstm,-0.0031323966942727564,0.49517117234869296,-0.004756505135446787,0.008843237534165382
gru,-0.000926270067691803,0.5117371446722682,-0.0007479441701434553,0.001856766757555306
tcn,0.0012436194978654412,0.4929836250339307,0.0035424402449280024,0.013900455087423325
transformer,-0.0008312711864709851,0.51115516484945,0.00018573897250462323,0.0027859266847372055
