strategy,ann_return,ann_vol,sharpe,max_dd,hit_rate,avg_turnover
equal_weight,0.23519275321179622,0.10345684927602894,2.2733415414770155,-0.07923845731603751,0.5314685314685315,0.0034965034965034965
arima,-0.018285282938634014,0.14205325289492454,-0.128721325037384,-0.13323540533201295,0.42657342657342656,3.0139862007194465
gru,0.07024786141460469,0.14116640003968595,0.4976245154254721,-0.1681408355762718,0.43006993006993005,0.857342683143549
lstm,-0.019922581321505487,0.12463689675819889,-0.15984497239205445,-0.1760149795579008,0.46153846153846156,2.4811190212523186
ridge,0.21177816716551195,0.14364687017178515,1.4742971212026779,-0.0825261762432642,0.4755244755244755,2.6531470034505937
tcn,0.08496446661525946,0.1336015441286353,0.635954226193803,-0.1415874004610147,0.46503496503496505,1.728671404969442
transformer,0.15415244657917743,0.14133364611999588,1.090698859118142,-0.09302312840360483,0.506993006993007,1.0195804599907015
xgboost,0.14129382726537143,0.1460806362930995,0.967231734813292,-0.11955365537762597,0.513986013986014,2.3804197061311947
