Date,AAPL,MSFT,AMZN,JPM,GOOGL,META,NVDA,BRK-B,XLK,XLF,XLE,XLV,XLI,SPY,QQQ,IWM,TLT,GLD,BTC-USD,ETH-USD
2018-01-21,41.75481033325195,82.58676147460938,64.72899627685547,90.39622497558594,56.706321716308594,179.87841796875,5.688706874847412,213.25,31.284900665283203,25.26997184753418,26.774349212646484,76.9244384765625,69.3621597290039,246.8072967529297,157.6626434326172,143.12586975097656,97.1750259399414,126.41999816894531,11600.099609375,1049.5799560546875
2018-01-22,41.413204193115234,84.06415557861328,66.3655014038086,91.45210266113281,57.730857849121094,183.9266357421875,5.7772088050842285,215.97000122070312,31.589435577392578,25.475271224975586,27.35274314880371,77.4289321899414,69.3621597290039,248.81405639648438,159.3497772216797,143.89292907714844,97.26979064941406,126.6500015258789,10931.400390625,1003.260009765625
2018-01-23,41.422569274902344,84.33027648925781,68.12699890136719,91.35612487792969,58.32643508911133,187.87567138671875,5.90625524520874,215.55999755859375,31.72787094116211,25.500934600830078,27.31068992614746,77.05492401123047,69.39698028564453,249.3421630859375,160.66729736328125,144.35311889648438,97.68831634521484,127.27999877929688,10868.400390625,986.22900390625
2018-01-24,40.762760162353516,84.2568359375,67.87550354003906,92.52395629882812,58.08442687988281,185.0974578857422,5.829372406005859,215.61000061035156,31.483318328857422,25.67203712463379,27.237058639526367,77.28106689453125,69.33606719970703,249.24534606933594,159.6246337890625,143.45977783203125,97.15922546386719,128.8300018310547,11359.400390625,1058.780029296875
2018-01-25,40.035099029541016,84.724853515625,68.89749908447266,92.54796600341797,58.62247848510742,186.02020263671875,5.842967510223389,215.10000610351562,31.427946090698242,25.620708465576172,27.023237228393555,77.94210052490234,69.40569305419922,249.3509521484375,159.56776428222656,143.51385498046875,97.95682525634766,127.97000122070312,11259.400390625,1056.030029296875
2018-01-26,40.12870407104492,86.31232452392578,70.10250091552734,93.04390716552734,58.891265869140625,188.5205841064453,6.015524864196777,217.19000244140625,31.926284790039062,25.80889892578125,27.170467376708984,79.62080383300781,70.20646667480469,252.23793029785156,162.01316833496094,144.02825927734375,97.59355926513672,128.07000732421875,11171.400390625,1055.1700439453125
2018-01-27,40.12870407104492,86.31232452392578,70.10250091552734,93.04390716552734,58.891265869140625,188.5205841064453,6.015524864196777,217.19000244140625,31.926284790039062,25.80889892578125,27.170467376708984,79.62080383300781,70.20646667480469,252.23793029785156,162.01316833496094,144.02825927734375,97.59355926513672,128.07000732421875,11440.7001953125,1107.0699462890625
2018-01-28,40.12870407104492,86.31232452392578,70.10250091552734,93.04390716552734,58.891265869140625,188.5205841064453,6.015524864196777,217.19000244140625,31.926284790039062,25.80889892578125,27.170467376708984,79.62080383300781,70.20646667480469,252.23793029785156,162.01316833496094,144.02825927734375,97.59355926513672,128.07000732421875,11786.2998046875,1246.010009765625
2018-01-29,39.29808807373047,86.18387603759766,70.88400268554688,92.9478759765625,58.837703704833984,184.53189086914062,6.102546691894531,215.4600067138672,31.635570526123047,25.706247329711914,26.760324478149414,79.4033432006836,69.73644256591797,250.5655975341797,161.2264862060547,143.21607971191406,96.91446685791016,127.3499984741211,11296.400390625,1182.3599853515625
2018-01-30,39.06645584106445,85.10106658935547,71.89099884033203,92.0760269165039,58.38594055175781,185.66299438476562,6.000445365905762,214.41000366210938,31.349489212036133,25.372621536254883,26.220491409301758,77.73333740234375,69.18807983398438,247.99559020996094,159.8995361328125,141.84439086914062,96.34591674804688,126.80000305175781,10106.2998046875,1071.1300048828125
2018-01-31,39.174095153808594,87.18412017822266,72.54450225830078,92.52395629882812,58.62645721435547,185.43479919433594,6.076587200164795,214.3800048828125,31.5848331451416,25.441055297851562,26.238021850585938,76.62872314453125,69.39698028564453,248.1186981201172,160.5630340576172,141.10440063476562,96.91446685791016,127.6500015258789,10221.099609375,1118.31005859375
2018-02-01,39.255977630615234,86.49589538574219,69.5,93.48383331298828,58.59520721435547,191.58653259277344,5.945562839508057,217.25,31.612504959106445,25.680585861206055,26.507938385009766,76.6548080444336,69.2751235961914,247.83709716796875,159.1981658935547,141.54656982421875,95.5099105834961,128.07000732421875,9170.5400390625,1036.7900390625
2018-02-02,37.55265426635742,84.22012329101562,71.49749755859375,91.41209411621094,55.501277923583984,188.79840087890625,5.773005962371826,209.1199951171875,30.675809860229492,25.115985870361328,25.40022850036621,75.57626342773438,67.88247680664062,242.4416046142578,156.02288818359375,138.8212127685547,94.62366485595703,126.38999938964844,8830.75,915.7849731445312
2018-02-03,37.55265426635742,84.22012329101562,71.49749755859375,91.41209411621094,55.501277923583984,188.79840087890625,5.773005962371826,209.1199951171875,30.675809860229492,25.115985870361328,25.40022850036621,75.57626342773438,67.88247680664062,242.4416046142578,156.02288818359375,138.8212127685547,94.62366485595703,126.38999938964844,9174.91015625,964.0189819335938
2018-02-04,37.55265426635742,84.22012329101562,71.49749755859375,91.41209411621094,55.501277923583984,188.79840087890625,5.773005962371826,209.1199951171875,30.675809860229492,25.115985870361328,25.40022850036621,75.57626342773438,67.88247680664062,242.4416046142578,156.02288818359375,138.8212127685547,94.62366485595703,126.38999938964844,8277.009765625,834.6820068359375
2018-02-05,36.61442947387695,80.7514877319336,69.5,87.0286865234375,52.68406677246094,179.84864807128906,5.283021926879883,196.8000030517578,29.393037796020508,23.849916458129883,24.334579467773438,72.22756958007812,64.80123901367188,232.30215454101562,149.8714599609375,133.4878387451172,95.5177993774414,126.70999908447266,6955.27001953125,697.9509887695312
2018-02-06,38.144588470458984,83.80721282958984,72.14199829101562,89.67631530761719,53.77703857421875,183.8671112060547,5.576715469360352,201.24000549316406,30.237455368041992,24.286197662353516,24.527374267578125,73.02774810791016,65.98502349853516,236.87905883789062,153.8428497314453,135.08518981933594,94.92433166503906,125.37999725341797,7754.0,793.1220092773438
2018-02-07,37.32803726196289,82.22891235351562,70.83899688720703,90.28427124023438,52.33792495727539,178.7770538330078,5.656319618225098,200.3699951171875,29.849853515625,24.303314208984375,24.11724281311035,72.9407958984375,66.10686492919922,235.59402465820312,151.85243225097656,135.22052001953125,94.02226257324219,124.79000091552734,7621.2998046875,757.0679931640625
2018-02-08,36.300907135009766,78.0077896118164,67.5250015258789,86.29277038574219,49.972476959228516,170.24403381347656,5.377458095550537,191.4199981689453,28.61322593688965,23.233997344970703,23.38812255859375,70.40968322753906,63.556610107421875,226.75714111328125,145.44505310058594,131.2498016357422,93.91941833496094,124.9800033569336,8265.58984375,817.8070068359375
2018-02-09,36.74491500854492,80.91668701171875,66.9800033569336,88.02054595947266,51.884674072265625,174.7387237548828,5.737407684326172,196.02000427246094,29.314594268798828,23.678831100463867,23.370590209960938,71.40996551513672,64.24420928955078,230.1633758544922,147.95681762695312,132.45008850097656,93.32591247558594,124.7699966430664,8736.98046875,883.864990234375
2018-02-10,36.74491500854492,80.91668701171875,66.9800033569336,88.02054595947266,51.884674072265625,174.7387237548828,5.737407684326172,196.02000427246094,29.314594268798828,23.678831100463867,23.370590209960938,71.40996551513672,64.24420928955078,230.1633758544922,147.95681762695312,132.45008850097656,93.32591247558594,124.7699966430664,8621.900390625,860.4149780273438
2018-02-11,36.74491500854492,80.91668701171875,66.9800033569336,88.02054595947266,51.884674072265625,174.7387237548828,5.737407684326172,196.02000427246094,29.314594268798828,23.678831100463867,23.370590209960938,71.40996551513672,64.24420928955078,230.1633758544922,147.95681762695312,132.45008850097656,93.32591247558594,124.7699966430664,8129.97021484375,814.6599731445312
2018-02-12,38.224952697753906,81.78843688964844,69.3115005493164,89.38037109375,52.295780181884766,175.03640747070312,5.637284755706787,198.88999938964844,29.840621948242188,24.012460708618164,23.752687454223633,72.07970428466797,65.27999877929688,233.543212890625,150.58229064941406,133.7044219970703,93.73737335205078,125.37000274658203,8926.5703125,868.7069702148438
2018-02-13,38.607879638671875,82.43074035644531,70.72550201416016,89.93228912353516,52.27494812011719,171.80177307128906,5.751004219055176,197.99000549316406,29.914451599121094,24.115108489990234,23.65453338623047,72.13188171386719,65.42797088623047,234.1241455078125,151.35955810546875,133.99319458007812,94.1567611694336,126.08000183105469,8598.3095703125,845.2579956054688
2018-02-14,39.31971740722656,83.72150421142578,72.55249786376953,92.01202392578125,53.19533920288086,178.1221923828125,5.968308448791504,200.5399932861328,30.463552474975586,24.688264846801758,23.998062133789062,72.94949340820312,66.2548599243164,237.28390502929688,154.1935272216797,136.40274047851562,93.11227416992188,128.22999572753906,9494.6298828125,923.5609741210938
2018-02-15,40.6400146484375,85.42708587646484,73.08799743652344,92.39598846435547,54.120689392089844,178.5587921142578,6.0938944816589355,203.89999389648438,31.044946670532227,24.825130462646484,23.93846321105957,73.75839233398438,67.25582122802734,240.3117218017578,157.0559844970703,137.89175415039062,93.42875671386719,128.3800048828125,10166.400390625,936.9760131835938
